Team,Name,Position,GP,G,A,PTS,PIM
Merrimack College Statistics and History,8,Liam Dennison,D,35,2,7,9
Merrimack College Statistics and History,11,Devlin O'Brien,F,30,3,5,8
Merrimack College Statistics and History,2,Christian Felton,D,26,3,4,7
Merrimack College Statistics and History,5,Trevor Griebel,D,19,2,4,6
Merrimack College Statistics and History,25,Luke Weilandt,R,23,3,2,5
Merrimack College Statistics and History,15,Mark Gallant,F,33,2,3,5
Merrimack College Statistics and History,13,Chase Stevenson,F,15,4,0,4
Merrimack College Statistics and History,27,Adam Arvedson,D,21,1,3,4
Merrimack College Statistics and History,7,Max Wattvil,D,24,2,1,3
Merrimack College Statistics and History,26,Ivan Zivlak,D,24,1,2,3
Merrimack College Statistics and History,24,David Sacco,R,18,1,1,2
Merrimack College Statistics and History,9,Brady Hunter,C,11,0,2,2
Merrimack College Statistics and History,14,Tyler Young,R,12,0,1,1
Merrimack College Statistics and History,16,Nikita Borodayenko,F,12,0,1,1
Merrimack College Statistics and History,30,Steven Bacovsky,G,1,0,0,0
Merrimack College Statistics and History,29,Zachary Borgiel,G,16,0,0,0
Merrimack College Statistics and History,1,Hugo Ollas,G,22,0,0,0
Merrimack College Statistics and History,,Totals,98,169,267,396,
Michigan State University Statistics and History,22,Isaac Howard,L,36,8,28,36
Michigan State University Statistics and History,28,Karsen Dorwart,F,38,15,20,35
Michigan State University Statistics and History,5,Artyom Levshunov,D,38,9,26,35
Michigan State University Statistics and History,18,Joey Larson,F,38,16,16,32
Michigan State University Statistics and History,19,Nicolas Muller,F,38,7,22,29
Michigan State University Statistics and History,21,Redmond Savage,C,38,10,17,27
Michigan State University Statistics and History,29,Gavin O'Connell,C,38,15,11,26
Michigan State University Statistics and History,20,Daniel Russell,F,38,13,12,25
Michigan State University Statistics and History,4,Nash Nienhuis,D,38,9,15,24
Michigan State University Statistics and History,11,Jeremy Davidson,R,38,12,10,22
Michigan State University Statistics and History,,Reed Lebster,R,35,6,13,19
Michigan State University Statistics and History,26,Tanner Kelly,F,35,9,9,18
Michigan State University Statistics and History,13,Tiernan Shoudy,F,38,4,12,16
Michigan State University Statistics and History,9,Matt Basgall,D,38,1,14,15
Michigan State University Statistics and History,2,Patrick Geary,D,32,5,8,13
Michigan State University Statistics and History,10,Tommi Mannisto,R,33,1,9,10
Michigan State University Statistics and History,8,Maxim Strbak,D,32,2,7,9
Michigan State University Statistics and History,7,David Gucciardi,D,30,2,6,8
Michigan State University Statistics and History,6,Austin Oravetz,D,34,0,5,5
Michigan State University Statistics and History,16,Owen Baker,F,7,1,1,2
Michigan State University Statistics and History,12,Griffin Jurecki,F,7,1,1,2
Michigan State University Statistics and History,3,Viktor Hurtig,D,9,1,1,2
Michigan State University Statistics and History,1,Trey Augustine,G,35,0,1,1
Michigan State University Statistics and History,27,Gavin Best,F,2,0,0,0
Michigan State University Statistics and History,30,Jon Mor,G,2,0,0,0
Michigan State University Statistics and History,31,Luca Di Pasquo,G,4,0,0,0
Michigan State University Statistics and History,24,James Crossman,D,6,0,0,0
Michigan State University Statistics and History,,Totals,147,264,411,467,
Michigan Tech Statistics and History,16,Isaac Gordon,F,40,18,18,36
Michigan Tech Statistics and History,11,Ryland Mosley,L,40,18,15,33
Michigan Tech Statistics and History,13,Logan Pietila,R,40,13,16,29
Michigan Tech Statistics and History,17,Chase Pietila,D,40,3,19,22
Michigan Tech Statistics and History,14,Max Koskipirtti,F,33,4,17,21
Michigan Tech Statistics and History,29,Jack Works,F,35,10,10,20
Michigan Tech Statistics and History,5,Tyrone Bronte,C,35,6,8,14
Michigan Tech Statistics and History,25,Jed Pietila,D,40,2,12,14
Michigan Tech Statistics and History,20,Arvid Caderoth,F,35,7,6,13
Michigan Tech Statistics and History,12,Kash Rasmussen,L,35,3,9,12
Michigan Tech Statistics and History,9,Kyle Kukkonen,C,27,1,11,12
Michigan Tech Statistics and History,15,Matthew Campbell,D,30,4,7,11
Michigan Tech Statistics and History,22,Marcus Pedersen,R,37,5,4,9
Michigan Tech Statistics and History,18,Alex Nordstrom,F,26,4,4,8
Michigan Tech Statistics and History,21,Blais Richartz,F,31,3,4,7
Michigan Tech Statistics and History,8,Trevor Russell,D,38,0,7,7
Michigan Tech Statistics and History,4,Henry Bartle,F,16,1,4,5
Michigan Tech Statistics and History,19,Nick Williams,D,25,1,4,5
Michigan Tech Statistics and History,6,Lauri Raiman,C,32,2,2,4
Michigan Tech Statistics and History,10,Lachlan Getz,D,28,1,2,3
Michigan Tech Statistics and History,27,Austen Swankler,C,10,0,3,3
Michigan Tech Statistics and History,99,Patriks Marcinkevics,C,5,1,1,2
Michigan Tech Statistics and History,26,Evan Orr,D,14,1,1,2
Michigan Tech Statistics and History,28,Levi Stauber,L,20,1,1,2
Michigan Tech Statistics and History,7,Kasper Vaharautio,D,37,0,2,2
Michigan Tech Statistics and History,31,Blake Pietila,G,37,0,1,1
Michigan Tech Statistics and History,24,Oliver Bezick,D,1,0,0,0
Michigan Tech Statistics and History,35,Michael Morelli,G,1,0,0,0
Michigan Tech Statistics and History,23,Trevor Kukkonen,F,2,0,0,0
Michigan Tech Statistics and History,30,Max Vayrynen,G,4,0,0,0
Michigan Tech Statistics and History,,Totals,109,188,297,322,
Middlebury College Statistics and History,78,Jin Lee,C,26,10,10,20
Middlebury College Statistics and History,10,Andrej Hromic,F,26,8,9,17
Middlebury College Statistics and History,77,Wyatt Pastor,R,25,4,10,14
Middlebury College Statistics and History,18,Jackson Morehouse,R,24,5,7,12
Middlebury College Statistics and History,26,Revelin Mack,F,17,6,5,11
Middlebury College Statistics and History,23,Dante Palombo,F,25,4,7,11
Middlebury College Statistics and History,22,Andrew Seaman,R,26,2,7,9
Middlebury College Statistics and History,33,Paddy Mangan,D,26,2,6,8
Middlebury College Statistics and History,2,Bobby May,D,20,1,7,8
Middlebury College Statistics and History,14,Paddy Bogart,R,25,2,5,7
Middlebury College Statistics and History,29,Matt Myers,C,24,3,3,6
Middlebury College Statistics and History,19,Chris Garbe,F,26,3,2,5
Middlebury College Statistics and History,5,Nolan Moore,D,23,2,3,5
Middlebury College Statistics and History,42,John Burdett,D,25,1,4,5
Middlebury College Statistics and History,37,Ryan Pineault,D,19,0,5,5
Middlebury College Statistics and History,9,Jake Oblak,D,21,1,3,4
Middlebury College Statistics and History,28,Michael Fairfax,F,20,2,1,3
Middlebury College Statistics and History,55,Kevin Golden,D,13,1,2,3
Middlebury College Statistics and History,25,Tucker Lamb,R,10,1,0,1
Middlebury College Statistics and History,39,Zach Whitehead,F,25,1,0,1
Middlebury College Statistics and History,13,Zach Milton,D,14,0,1,1
Middlebury College Statistics and History,1,Thomas Giroux,G,1,0,0,0
Middlebury College Statistics and History,30,Luke Jaspan,G,2,0,0,0
Middlebury College Statistics and History,3,Drew Malatesta,F,3,0,0,0
Middlebury College Statistics and History,12,Joe Gerebi,D,4,0,0,0
Middlebury College Statistics and History,34,Ben Boren,F,5,0,0,0
Middlebury College Statistics and History,98,Max Noll,R,8,0,0,0
Middlebury College Statistics and History,35,Andrew Heinze,G,8,0,0,0
Middlebury College Statistics and History,20,Sam Amato,D,11,0,0,0
Middlebury College Statistics and History,31,Jake Horoho,G,21,0,0,0
Middlebury College Statistics and History,,Totals,59,97,156,173,
Niagara University Statistics and History [NCAA],10,Carter Randklev,F,37,11,20,31
Niagara University Statistics and History [NCAA],18,Tyler Wallace,L,39,13,17,30
Niagara University Statistics and History [NCAA],9,Jay Ahearn,F,34,10,16,26
Niagara University Statistics and History [NCAA],13,Jack Richard,F,34,10,11,21
Niagara University Statistics and History [NCAA],4,Glebs Prohorenkovs,F,39,9,12,21
Niagara University Statistics and History [NCAA],23,Lars-Christian Rodne,F,34,8,12,20
Niagara University Statistics and History [NCAA],21,Shane Ott,F,38,5,15,20
Niagara University Statistics and History [NCAA],8,Luke Mylymok,L,38,9,7,16
Niagara University Statistics and History [NCAA],11,Olivier Gauthier,L,39,4,10,14
Niagara University Statistics and History [NCAA],26,Alex Murray,D,22,1,12,13
Niagara University Statistics and History [NCAA],5,Noah Carlin,D,27,3,9,12
Niagara University Statistics and History [NCAA],24,Josef Mysak,D,37,2,10,12
Niagara University Statistics and History [NCAA],14,Connor Mylymok,L,37,6,5,11
Niagara University Statistics and History [NCAA],2,Jonathan Ziskie,D,27,2,6,8
Niagara University Statistics and History [NCAA],34,Noah Hackett,F,29,2,6,8
Niagara University Statistics and History [NCAA],22,Lane Brockhoff,D,37,2,6,8
Niagara University Statistics and History [NCAA],25,Johnny Wescoe,R,19,4,1,5
Niagara University Statistics and History [NCAA],3,Cole Mickel,D,28,2,3,5
Niagara University Statistics and History [NCAA],28,Ethan Lund,D,33,2,3,5
Niagara University Statistics and History [NCAA],19,Drew Vieten,C,21,3,1,4
Niagara University Statistics and History [NCAA],27,Aron Jessli,L,28,1,3,4
Niagara University Statistics and History [NCAA],29,David Posma,D,15,1,2,3
Niagara University Statistics and History [NCAA],31,Jarrett Fiske,G,29,0,3,3
Niagara University Statistics and History [NCAA],20,Christian Gorscak,F,23,1,1,2
Niagara University Statistics and History [NCAA],17,Max Ruoho,D,11,0,1,1
Niagara University Statistics and History [NCAA],16,Jaedon Leslie,C,14,0,1,1
Niagara University Statistics and History [NCAA],30,Mitchell Day,G,6,0,0,0
Niagara University Statistics and History [NCAA],39,Ryan Ouellette,G,8,0,0,0
Niagara University Statistics and History [NCAA],,Totals,111,193,304,438,
Northeastern University Statistics and History,29,Justin Hryckowian,C,32,13,30,43
Northeastern University Statistics and History,27,Alexander Campbell,L,36,22,20,42
Northeastern University Statistics and History,15,Jack Williams,F,34,17,19,36
Northeastern University Statistics and History,13,Dylan Hryckowian,F,34,7,27,34
Northeastern University Statistics and History,12,Cam Lund,C,35,11,19,30
Northeastern University Statistics and History,22,Vinny Borgesi,D,34,5,23,28
Northeastern University Statistics and History,11,Gunnarwolfe Fontaine,L,36,8,19,27
Northeastern University Statistics and History,4,Pito Walton,D,36,5,12,17
Northeastern University Statistics and History,8,Jackson Dorrington,D,33,6,6,12
Northeastern University Statistics and History,9,Matt Choupani,F,28,3,9,12
Northeastern University Statistics and History,21,Matt Demelis,C,23,2,6,8
Northeastern University Statistics and History,20,Brett Edwards,F,31,5,2,7
Northeastern University Statistics and History,14,Liam Walsh,L,36,4,3,7
Northeastern University Statistics and History,5,Hunter McDonald,D,23,1,5,6
Northeastern University Statistics and History,25,Matt Staudacher,D,31,2,2,4
Northeastern University Statistics and History,19,Billy Norcross,C,26,0,4,4
Northeastern University Statistics and History,3,Nolan Hayes,D,22,0,3,3
Northeastern University Statistics and History,16,Michael Fisher,D,29,1,1,2
Northeastern University Statistics and History,17,Braden Doyle,D,13,1,0,1
Northeastern University Statistics and History,18,Andy Moore,F,31,0,1,1
Northeastern University Statistics and History,23,Eli Sebastian,C,32,0,1,1
Northeastern University Statistics and History,35,Harrison Chesney,G,1,0,0,0
Northeastern University Statistics and History,28,Anthony Messuri,L,3,0,0,0
Northeastern University Statistics and History,1,Connor Hopkins,G,4,0,0,0
Northeastern University Statistics and History,10,Patrick Dawson,D,16,0,0,0
Northeastern University Statistics and History,7,Michael Outzen,F,16,0,0,0
Northeastern University Statistics and History,39,Cameron Whitehead,G,35,0,0,0
Northeastern University Statistics and History,,Totals,113,212,325,250,
Norwich University Statistics and History,20,Clark Kerner,L,25,8,12,20
Norwich University Statistics and History,14,Cooper Bertrand,D,26,6,11,17
Norwich University Statistics and History,15,Bryan O'Mara,L,26,5,12,17
Norwich University Statistics and History,18,Johnny Johnson,C,26,4,12,16
Norwich University Statistics and History,19,Paul Schmid,F,25,7,8,15
Norwich University Statistics and History,9,Patrick Del Vecchio,F,22,5,7,12
Norwich University Statistics and History,27,Owen Sclisizzi,F,24,4,8,12
Norwich University Statistics and History,23,Holden Doggett,F,23,7,4,11
Norwich University Statistics and History,4,Devon Thibodeau,D,26,3,8,11
Norwich University Statistics and History,17,Patrick O'Neal,F,26,5,5,10
Norwich University Statistics and History,29,Jed Brazo,F,24,4,6,10
Norwich University Statistics and History,91,Colin Elliott,F,24,2,6,8
Norwich University Statistics and History,2,Nick Foster,D,21,3,3,6
Norwich University Statistics and History,7,Nicholas Cordeiro,F,9,2,2,4
Norwich University Statistics and History,22,Brady Harroun,C,10,2,2,4
Norwich University Statistics and History,24,Ben Van Waterschoot,F,10,2,2,4
Norwich University Statistics and History,12,Zach Ophoven,F,11,2,2,4
Norwich University Statistics and History,21,Alex Lewis,F,15,1,3,4
Norwich University Statistics and History,8,Joe Nagle,D,15,1,3,4
Norwich University Statistics and History,3,Harris Hilfiker,D,12,0,4,4
Norwich University Statistics and History,25,Jason Galotti,D,25,0,4,4
Norwich University Statistics and History,10,Michael Mackenzie,L,7,2,1,3
Norwich University Statistics and History,6,Matt Harvey,D,22,1,2,3
Norwich University Statistics and History,11,Hayden Heinrich,D,25,0,3,3
Norwich University Statistics and History,44,Adam Shuchart,D,7,1,1,2
Norwich University Statistics and History,33,Owen Hains,G,1,0,0,0
Norwich University Statistics and History,28,Joseph Schubert,F,2,0,0,0
Norwich University Statistics and History,16,Ryan Leonard,R,5,0,0,0
Norwich University Statistics and History,88,Bryce Walcarius,G,11,0,0,0
Norwich University Statistics and History,37,Sami Molu,G,15,0,0,0
Norwich University Statistics and History,,Totals,77,131,208,126,
Notre Dame Statistics and History,19,Landon Slaggert,L,36,20,11,31
Notre Dame Statistics and History,18,Patrick Moynihan,R,36,10,14,24
Notre Dame Statistics and History,11,Danny Nelson,C,30,9,14,23
Notre Dame Statistics and History,24,Drew Bavaro,D,35,10,10,20
Notre Dame Statistics and History,22,Cole Knuble,C,36,9,11,20
Notre Dame Statistics and History,2,Ryan Siedem,D,36,3,17,20
Notre Dame Statistics and History,10,Hunter Strand,C,36,4,15,19
Notre Dame Statistics and History,27,Trevor Janicke,C,32,9,7,16
Notre Dame Statistics and History,8,Justin Janicke,L,36,4,12,16
Notre Dame Statistics and History,16,Paul Fischer,D,34,2,14,16
Notre Dame Statistics and History,13,Brennan Ali,C,36,3,10,13
Notre Dame Statistics and History,14,Maddox Fleming,C,35,3,9,12
Notre Dame Statistics and History,9,Grant Silianoff,R,28,4,7,11
Notre Dame Statistics and History,28,Tyler Carpenter,L,33,5,4,9
Notre Dame Statistics and History,25,Carter Slaggert,F,32,3,4,7
Notre Dame Statistics and History,4,Michael Mastrodomenico,D,33,1,6,7
Notre Dame Statistics and History,26,Zach Plucinski,D,36,0,4,4
Notre Dame Statistics and History,15,Jayden Davis,F,21,2,1,3
Notre Dame Statistics and History,6,Jake Boltmann,D,30,0,2,2
Notre Dame Statistics and History,23,Brady Bjork,F,5,0,1,1
Notre Dame Statistics and History,12,Henry Nelson,D,31,0,1,1
Notre Dame Statistics and History,33,Josh Graziano,G,1,0,0,0
Notre Dame Statistics and History,3,Hunter Weiss,D,1,0,0,0
Notre Dame Statistics and History,29,Jack Williams,G,2,0,0,0
Notre Dame Statistics and History,17,Ryan Helliwell,D,9,0,0,0
Notre Dame Statistics and History,30,Ryan Bischel,G,36,0,0,0
Notre Dame Statistics and History,,Totals,101,174,275,445,
Ohio State University Statistics and History,19,Stephen Halliday,C,38,10,26,36
Ohio State University Statistics and History,8,Scooter Brickey,D,37,13,13,26
Ohio State University Statistics and History,23,Davis Burnside,R,38,9,17,26
Ohio State University Statistics and History,44,Theo Wallberg,D,38,2,19,21
Ohio State University Statistics and History,16,Max Montes,F,37,9,9,18
Ohio State University Statistics and History,15,Cam Thiesing,F,31,9,7,16
Ohio State University Statistics and History,71,Patrick Guzzo,F,38,8,7,15
Ohio State University Statistics and History,14,Dalton Messina,L,38,6,8,14
Ohio State University Statistics and History,7,Brent Johnson,D,37,5,8,13
Ohio State University Statistics and History,10,Thomas Weis,F,37,4,7,11
Ohio State University Statistics and History,18,Michael Gildon,L,34,5,5,10
Ohio State University Statistics and History,12,Caden Brown,C,24,4,6,10
Ohio State University Statistics and History,21,Joseph Dunlap,F,13,3,5,8
Ohio State University Statistics and History,91,Jake Dunlap,F,33,3,5,8
Ohio State University Statistics and History,2,Nathan McBrayer,D,34,0,7,7
Ohio State University Statistics and History,25,Sam Deckhut,F,29,3,3,6
Ohio State University Statistics and History,93,Damien Carfagna,D,34,2,4,6
Ohio State University Statistics and History,9,Riley Hughes,R,23,1,4,5
Ohio State University Statistics and History,28,William Smith,D,32,1,4,5
Ohio State University Statistics and History,6,Mason Klee,D,38,1,4,5
Ohio State University Statistics and History,29,Ryan Gordon,F,30,1,2,3
Ohio State University Statistics and History,4,John Larkin,D,3,1,0,1
Ohio State University Statistics and History,34,Reilly Herbst,G,2,0,0,0
Ohio State University Statistics and History,60,Kristoffer Eberly,G,14,0,0,0
Ohio State University Statistics and History,20,Matt Cassidy,R,24,0,0,0
Ohio State University Statistics and History,1,Logan Terness,G,27,0,0,0
Ohio State University Statistics and History,,Totals,100,170,270,464,
Pennsylvania State U Statistics and History [NCAA],18,Aiden Fink,R,34,15,19,34
Pennsylvania State U Statistics and History [NCAA],13,Daniyal Dzhaniyev,F,33,9,20,29
Pennsylvania State U Statistics and History [NCAA],27,Jacques Bouquot,C,34,12,15,27
Pennsylvania State U Statistics and History [NCAA],11,Ryan Kirwan,F,36,13,13,26
Pennsylvania State U Statistics and History [NCAA],14,Matthew DiMarsico,F,35,7,19,26
Pennsylvania State U Statistics and History [NCAA],29,Reese Laubach,C,35,10,12,22
Pennsylvania State U Statistics and History [NCAA],4,Simon Mack,D,36,4,12,16
Pennsylvania State U Statistics and History [NCAA],9,Xander Lamppa,F,35,3,13,16
Pennsylvania State U Statistics and History [NCAA],22,Tanner Palocsik,D,36,2,14,16
Pennsylvania State U Statistics and History [NCAA],16,Dylan Lugris,R,36,8,6,14
Pennsylvania State U Statistics and History [NCAA],25,Dylan Gratton,D,36,3,10,13
Pennsylvania State U Statistics and History [NCAA],6,Jimmy Dowd,D,28,2,11,13
Pennsylvania State U Statistics and History [NCAA],19,Dane Dowiak,F,31,6,5,11
Pennsylvania State U Statistics and History [NCAA],23,Tyler Paquette,R,27,6,3,9
Pennsylvania State U Statistics and History [NCAA],24,Jarod Crespo,D,35,3,5,8
Pennsylvania State U Statistics and History [NCAA],15,Christian Sarlo,F,25,2,6,8
Pennsylvania State U Statistics and History [NCAA],17,Chase McLane,C,17,3,3,6
Pennsylvania State U Statistics and History [NCAA],5,Christian Berger,D,30,2,4,6
Pennsylvania State U Statistics and History [NCAA],8,Alex Servagno,F,30,2,4,6
Pennsylvania State U Statistics and History [NCAA],3,Casey Aman,D,20,1,1,2
Pennsylvania State U Statistics and History [NCAA],7,Carson Dyck,F,30,0,2,2
Pennsylvania State U Statistics and History [NCAA],30,Doug Dorr,G,1,0,0,0
Pennsylvania State U Statistics and History [NCAA],33,Noah Grannan,G,11,0,0,0
Pennsylvania State U Statistics and History [NCAA],2,Carter Schade,D,21,0,0,0
Pennsylvania State U Statistics and History [NCAA],31,Liam Souliere,G,28,0,0,0
Pennsylvania State U Statistics and History [NCAA],,Totals,113,197,310,321,
Post University Statistics and History,28,Patrick Murphy,L,28,9,7,16
Post University Statistics and History,8,Jack Engdahl,F,30,7,9,16
Post University Statistics and History,3,Ryan Cardow,D,26,3,9,12
Post University Statistics and History,18,Connor Barter,F,26,5,6,11
Post University Statistics and History,14,Jake Aloi,F,26,7,3,10
Post University Statistics and History,11,Tommy Buis,F,30,4,5,9
Post University Statistics and History,10,Brandon Crowther,F,23,2,5,7
Post University Statistics and History,2,Cameron Craig,D,27,2,5,7
Post University Statistics and History,7,Michael Gethings,F,30,3,3,6
Post University Statistics and History,13,Parker Norling,F,30,1,5,6
Post University Statistics and History,15,Nick Brewer,D,30,3,2,5
Post University Statistics and History,24,Hugh McGuigan,F,25,2,3,5
Post University Statistics and History,9,Jacob Howell,F,18,1,4,5
Post University Statistics and History,25,Matteo Peca,C,20,1,4,5
Post University Statistics and History,27,Trey Deloury,D,19,0,5,5
Post University Statistics and History,17,Ryan Mosher,F,19,4,0,4
Post University Statistics and History,6,Nathan McDevitt,F,12,2,2,4
Post University Statistics and History,21,Conner Murray,F,26,1,2,3
Post University Statistics and History,22,Tanner Glasrud,D,16,1,1,2
Post University Statistics and History,23,Ryan O'Connell,D,26,1,1,2
Post University Statistics and History,16,Conner McCowell,F,14,0,2,2
Post University Statistics and History,5,Casey Sturgeon,D,20,0,2,2
Post University Statistics and History,26,Justin Harshaw,F,22,0,2,2
Post University Statistics and History,4,Wyatt Noble,D,28,0,2,2
Post University Statistics and History,35,Benjamin Cuneen,G,6,0,0,0
Post University Statistics and History,30,Zach Richards,G,13,0,0,0
Post University Statistics and History,1,Drew Blodgett,G,16,0,0,0
Post University Statistics and History,,Totals,59,89,148,446,
Princeton University Statistics and History,17,Adam Robbins,R,30,11,18,29
Princeton University Statistics and History,16,Brendan Gorman,F,29,7,17,24
Princeton University Statistics and History,24,David Jacobs,F,30,7,17,24
Princeton University Statistics and History,12,Ian Murphy,R,25,11,12,23
Princeton University Statistics and History,13,Nicholas Seitz,F,30,5,18,23
Princeton University Statistics and History,19,Jack Cronin,F,26,11,8,19
Princeton University Statistics and History,26,Kai Daniells,F,30,8,11,19
Princeton University Statistics and History,22,Noah De La Durantaye,D,29,3,15,18
Princeton University Statistics and History,7,Nicholas Carabin,D,27,5,12,17
Princeton University Statistics and History,8,Tyler Rubin,D,30,4,9,13
Princeton University Statistics and History,27,Jaxon Ezman,F,15,4,3,7
Princeton University Statistics and History,3,Mike Kennedy,D,30,2,3,5
Princeton University Statistics and History,18,Josh Karnish,C,27,3,1,4
Princeton University Statistics and History,23,Joe Berg,R,30,2,2,4
Princeton University Statistics and History,11,Jayden Sison,D,30,0,4,4
Princeton University Statistics and History,14,Carson Buydens,C,22,2,1,3
Princeton University Statistics and History,25,Nick Marciano,D,22,2,0,2
Princeton University Statistics and History,21,Michael Young,F,7,1,1,2
Princeton University Statistics and History,20,Kevin Anderson,R,17,1,0,1
Princeton University Statistics and History,6,Ian Devlin,D,12,0,1,1
Princeton University Statistics and History,10,Alex Konovalov,F,14,0,1,1
Princeton University Statistics and History,31,Ethan Pearson,G,15,0,1,1
Princeton University Statistics and History,28,Brendan Wang,D,25,0,1,1
Princeton University Statistics and History,30,Conor Callaghan,G,5,0,0,0
Princeton University Statistics and History,1,Arthur Smith,G,20,0,0,0
Princeton University Statistics and History,9,Mackenzie Merriman,L,27,0,0,0
Princeton University Statistics and History,,Totals,89,156,245,293,
Providence College Statistics and History,12,Nicholas Poisson,L,35,9,15,24
Providence College Statistics and History,19,Tanner Adams,R,35,6,15,21
Providence College Statistics and History,17,Chase Yoder,F,35,11,9,20
Providence College Statistics and History,9,Hudson Malinoski,C,35,9,9,18
Providence College Statistics and History,4,Guillaume Richard,D,35,3,15,18
Providence College Statistics and History,23,Bennett Schimek,R,34,8,9,17
Providence College Statistics and History,2,Luke Krys,D,35,6,11,17
Providence College Statistics and History,8,Riley Duran,C,35,9,7,16
Providence College Statistics and History,28,Jaroslav Chmelar,R,26,5,10,15
Providence College Statistics and History,11,Graham Gamache,F,35,6,8,14
Providence College Statistics and History,24,Austen May,D,30,4,9,13
Providence College Statistics and History,25,Connor Kelley,D,34,1,11,12
Providence College Statistics and History,18,Jamie Engelbert,F,28,7,4,11
Providence College Statistics and History,13,Craig Needham,L,34,4,7,11
Providence College Statistics and History,14,Calen Kiefiuk,L,25,2,8,10
Providence College Statistics and History,15,Liam Valente,C,29,4,5,9
Providence College Statistics and History,10,Brady Berard,C,27,2,6,8
Providence College Statistics and History,27,Taige Harding,D,34,2,6,8
Providence College Statistics and History,6,Cam McDonald,D,29,1,6,7
Providence College Statistics and History,20,Andrew Centrella,D,18,0,3,3
Providence College Statistics and History,22,Clint Levens,F,24,0,3,3
Providence College Statistics and History,21,Matthew Hubbarde,F,13,1,0,1
Providence College Statistics and History,33,Marcus Brannman,G,2,0,0,0
Providence College Statistics and History,35,Philip Svedeback,G,35,0,0,0
Providence College Statistics and History,,Totals,100,176,276,349,
Quinnipiac University Statistics and History,11,Collin Graf,R,34,22,27,49
Quinnipiac University Statistics and History,16,Jacob Quillan,F,39,17,29,46
Quinnipiac University Statistics and History,20,Mason Marcellus,F,39,14,22,36
Quinnipiac University Statistics and History,28,Sam Lipkin,L,39,15,20,35
Quinnipiac University Statistics and History,27,Andon Cerbone,F,39,12,14,26
Quinnipiac University Statistics and History,29,Cristophe Tellier,C,39,7,19,26
Quinnipiac University Statistics and History,15,Jayden Lee,D,39,3,23,26
Quinnipiac University Statistics and History,17,Travis Treloar,F,30,12,12,24
Quinnipiac University Statistics and History,6,Charles-Alexis Legault,D,39,9,15,24
Quinnipiac University Statistics and History,4,Davis Pennington,D,39,3,21,24
Quinnipiac University Statistics and History,3,Cooper Moore,D,39,3,19,22
Quinnipiac University Statistics and History,10,Zachary Tupker,C,39,6,15,21
Quinnipiac University Statistics and History,13,Christophe Fillion,F,39,12,7,19
Quinnipiac University Statistics and History,14,Victor Czerneckianair,F,39,7,7,14
Quinnipiac University Statistics and History,18,Anthony Cipollone,F,36,7,6,13
Quinnipiac University Statistics and History,2,Iivari Rasanen,D,39,4,7,11
Quinnipiac University Statistics and History,24,Alex Power,F,31,4,5,9
Quinnipiac University Statistics and History,5,C.J. McGee,D,39,2,7,9
Quinnipiac University Statistics and History,8,Matthew McGroarty,C,22,1,5,6
Quinnipiac University Statistics and History,26,Timothy Heinke,L,6,0,1,1
Quinnipiac University Statistics and History,7,Jacob Martin,D,25,0,1,1
Quinnipiac University Statistics and History,33,Ryan Solomon,G,1,0,0,0
Quinnipiac University Statistics and History,12,Nick Wallace,D,2,0,0,0
Quinnipiac University Statistics and History,31,Noah Altman,G,3,0,0,0
Quinnipiac University Statistics and History,19,Chase Ramsay,D,4,0,0,0
Quinnipiac University Statistics and History,35,Matej Marinov,G,11,0,0,0
Quinnipiac University Statistics and History,37,Vincent Duplessis,G,30,0,0,0
Quinnipiac University Statistics and History,,Totals,160,282,442,353,
R.I.T. Statistics and History,21,Carter Wilkie,F,40,16,25,41
R.I.T. Statistics and History,26,Cody Laskosky,F,37,14,27,41
R.I.T. Statistics and History,16,Elijah Gonsalves,F,36,20,18,38
R.I.T. Statistics and History,10,Gianfranco Cassaro,D,40,18,20,38
R.I.T. Statistics and History,6,Matthew Wilde,F,40,19,16,35
R.I.T. Statistics and History,23,Aiden Hansen-Bukata,D,37,5,26,31
R.I.T. Statistics and History,9,Tyler Fukakusa,F,39,9,19,28
R.I.T. Statistics and History,7,Tanner Andrew,C,38,6,15,21
R.I.T. Statistics and History,22,Grady Hobbs,F,39,10,8,18
R.I.T. Statistics and History,12,Simon Isabelle,C,39,8,10,18
R.I.T. Statistics and History,19,Christian Catalano,F,36,9,8,17
R.I.T. Statistics and History,14,Tyler Mahan,L,35,6,7,13
R.I.T. Statistics and History,11,Philippe Jacques,F,37,5,5,10
R.I.T. Statistics and History,5,Gustav Blom,F,32,3,7,10
R.I.T. Statistics and History,28,Xavier LaPointe,D,28,2,8,10
R.I.T. Statistics and History,4,Dimitri Mikrogiannakis,D,40,2,7,9
R.I.T. Statistics and History,24,Ryan Nicholson,D,40,0,9,9
R.I.T. Statistics and History,27,Crossley Stewart,D,30,2,6,8
R.I.T. Statistics and History,20,Caleb Moretz,C,39,1,5,6
R.I.T. Statistics and History,18,Kevin Scott,D,29,0,3,3
R.I.T. Statistics and History,15,Adam Jeffery,F,11,1,1,2
R.I.T. Statistics and History,8,Evan Miller,F,10,0,2,2
R.I.T. Statistics and History,32,Daniel Chenard,G,1,0,0,0
R.I.T. Statistics and History,33,Luke Lush,G,4,0,0,0
R.I.T. Statistics and History,25,Doug Scott,D,7,0,0,0
R.I.T. Statistics and History,30,Thomas Scarfone,G,36,0,0,0
